id,filepath,site
ZJ000000,train_features/ZJ000000.jpg,S0021
ZJ000001,train_features/ZJ000001.jpg,S0120
ZJ000002,train_features/ZJ000002.jpg,S0121
ZJ000003,train_features/ZJ000003.jpg,S0122
ZJ000004,train_features/ZJ000004.jpg,S0123
ZJ000005,train_features/ZJ000005.jpg,S0124
ZJ000006,train_features/ZJ000006.jpg,S0125
ZJ000007,train_features/ZJ000007.jpg,S0126
ZJ000008,train_features/ZJ000008.jpg,S0127
ZJ000009,train_features/ZJ000009.jpg,S0128
ZJ000010,train_features/ZJ000010.jpg,S0129
ZJ000011,train_features/ZJ000011.jpg,S0130
ZJ000012,train_features/ZJ000012.jpg,S0131
ZJ000013,train_features/ZJ000013.jpg,S0132
ZJ000014,train_features/ZJ000014.jpg,S0133
ZJ000015,train_features/ZJ000015.jpg,S0134
ZJ000016,train_features/ZJ000016.jpg,S0135
ZJ000017,train_features/ZJ000017.jpg,S0136
ZJ000018,train_features/ZJ000018.jpg,S0137
ZJ000019,train_features/ZJ000019.jpg,S0138
ZJ000020,train_features/ZJ000020.jpg,S0139
ZJ000021,train_features/ZJ000021.jpg,S0140
ZJ000022,train_features/ZJ000022.jpg,S0141
ZJ000023,train_features/ZJ000023.jpg,S0142
ZJ000024,train_features/ZJ000024.jpg,S0143
ZJ000025,train_features/ZJ000025.jpg,S0144
ZJ000026,train_features/ZJ000026.jpg,S0145
ZJ000027,train_features/ZJ000027.jpg,S0146
ZJ000028,train_features/ZJ000028.jpg,S0147
ZJ000029,train_features/ZJ000029.jpg,S0148
ZJ000030,train_features/ZJ000030.jpg,S0149
ZJ000031,train_features/ZJ000031.jpg,S0150
ZJ000032,train_features/ZJ000032.jpg,S0151
ZJ000033,train_features/ZJ000033.jpg,S0152
ZJ000034,train_features/ZJ000034.jpg,S0153
ZJ000035,train_features/ZJ000035.jpg,S0154
ZJ000036,train_features/ZJ000036.jpg,S0155
ZJ000037,train_features/ZJ000037.jpg,S0156
ZJ000038,train_features/ZJ000038.jpg,S0157
ZJ000039,train_features/ZJ000039.jpg,S0158
ZJ000040,train_features/ZJ000040.jpg,S0159
